micro_topic_id,speech_count,cumulative_count,cumulative_mass,retained
40,20,10490,0.83043065,false
56,20,10510,0.83201393,false
79,20,10530,0.83359721,false
138,20,10550,0.83518049,false
160,20,10570,0.83676377,false
275,20,10590,0.83834706,false
279,20,10610,0.83993034,false
318,20,10630,0.84151362,false
328,20,10650,0.84309690,false
6,19,10669,0.84460101,false
17,19,10688,0.84610513,false
59,19,10707,0.84760925,false
89,19,10726,0.84911336,false
98,19,10745,0.85061748,false
218,19,10764,0.85212160,false
235,19,10783,0.85362571,false
299,19,10802,0.85512983,false
12,18,10820,0.85655478,false
18,18,10838,0.85797973,false
63,18,10856,0.85940469,false
113,18,10874,0.86082964,false
153,18,10892,0.86225459,false
166,18,10910,0.86367954,false
208,18,10928,0.86510450,false
211,18,10946,0.86652945,false
222,18,10964,0.86795440,false
271,18,10982,0.86937935,false
276,18,11000,0.87080431,false
300,18,11018,0.87222926,false
332,18,11036,0.87365421,false
4,17,11053,0.87500000,false
14,17,11070,0.87634579,false
30,17,11087,0.87769158,false
43,17,11104,0.87903737,false
58,17,11121,0.88038315,false
68,17,11138,0.88172894,false
121,17,11155,0.88307473,false
144,17,11172,0.88442052,false
172,17,11189,0.88576631,false
181,17,11206,0.88711210,false
238,17,11223,0.88845788,false
252,17,11240,0.88980367,false
296,17,11257,0.89114946,false
27,16,11273,0.89241609,false
28,16,11289,0.89368271,false
37,16,11305,0.89494934,false
55,16,11321,0.89621596,false
61,16,11337,0.89748258,false
124,16,11353,0.89874921,false
130,16,11369,0.90001583,false
164,16,11385,0.90128246,false
261,16,11401,0.90254908,false
281,16,11417,0.90381571,false
313,16,11433,0.90508233,false
324,16,11449,0.90634896,false
329,16,11465,0.90761558,false
45,15,11480,0.90880304,false
87,15,11495,0.90999050,false
94,15,11510,0.91117796,false
108,15,11525,0.91236542,false
126,15,11540,0.91355288,false
157,15,11555,0.91474034,false
165,15,11570,0.91592780,false
180,15,11585,0.91711526,false
184,15,11600,0.91830272,false
240,15,11615,0.91949018,false
259,15,11630,0.92067764,false
266,15,11645,0.92186510,false
8,14,11659,0.92297340,false
10,14,11673,0.92408170,false
29,14,11687,0.92518999,false
31,14,11701,0.92629829,false
32,14,11715,0.92740659,false
51,14,11729,0.92851488,false
57,14,11743,0.92962318,false
81,14,11757,0.93073148,false
88,14,11771,0.93183977,false
97,14,11785,0.93294807,false
135,14,11799,0.93405636,false
167,14,11813,0.93516466,false
179,14,11827,0.93627296,false
212,14,11841,0.93738125,false
250,14,11855,0.93848955,false
19,13,11868,0.93951868,false
34,13,11881,0.94054782,false
41,13,11894,0.94157695,false
96,13,11907,0.94260608,false
112,13,11920,0.94363521,false
202,13,11933,0.94466434,false
233,13,11946,0.94569348,false
246,13,11959,0.94672261,false
289,13,11972,0.94775174,false
302,13,11985,0.94878087,false
33,12,11997,0.94973084,false
38,12,12009,0.95068081,false
54,12,12021,0.95163078,false
134,12,12033,0.95258075,false
139,12,12045,0.95353072,false
147,12,12057,0.95448068,false
148,12,12069,0.95543065,false
158,12,12081,0.95638062,false
177,12,12093,0.95733059,false
198,12,12105,0.95828056,false
201,12,12117,0.95923053,false
239,12,12129,0.96018049,false
241,12,12141,0.96113046,false
274,12,12153,0.96208043,false
307,12,12165,0.96303040,false
310,12,12177,0.96398037,false
319,12,12189,0.96493034,false
321,12,12201,0.96588030,false
330,12,12213,0.96683027,false
331,12,12225,0.96778024,false
334,12,12237,0.96873021,false
5,11,12248,0.96960101,false
21,11,12259,0.97047182,false
36,11,12270,0.97134262,false
48,11,12281,0.97221343,false
69,11,12292,0.97308423,false
77,11,12303,0.97395503,false
85,11,12314,0.97482584,false
90,11,12325,0.97569664,false
161,11,12336,0.97656745,false
170,11,12347,0.97743825,false
185,11,12358,0.97830906,false
230,11,12369,0.97917986,false
258,11,12380,0.98005066,false
270,11,12391,0.98092147,false
282,11,12402,0.98179227,false
23,10,12412,0.98258391,false
46,10,12422,0.98337555,false
67,10,12432,0.98416719,false
72,10,12442,0.98495883,false
91,10,12452,0.98575047,false
119,10,12462,0.98654212,false
150,10,12472,0.98733376,false
188,10,12482,0.98812540,false
204,10,12492,0.98891704,false
219,10,12502,0.98970868,false
227,10,12512,0.99050032,false
248,10,12522,0.99129196,false
260,10,12532,0.99208360,false
273,10,12542,0.99287524,false
283,10,12552,0.99366688,false
285,10,12562,0.99445852,false
292,10,12572,0.99525016,false
293,10,12582,0.99604180,false
294,10,12592,0.99683344,false
297,10,12602,0.99762508,false
306,10,12612,0.99841672,false
312,10,12622,0.99920836,false
327,10,12632,1.00000000,false
