model,prediction_column,n_items,n_true_labels,n_pred_labels,purity,bcubed_precision,bcubed_recall,bcubed_f1,ari,nmi
HDBSCAN micro-topics,hdbscan_cluster,269,16,92,0.6394052044609665,0.5566959833167104,0.29535255244492203,0.385944163289835,0.06254005651958726,0.46883530817063845
KMeans micro-topics,kmeans_cluster,269,16,163,0.8736059479553904,0.853903345724907,0.09557294554557114,0.17190541504295279,0.04207595096846665,0.5869227030928277
Agglomerative micro-topics,agglomerative_cluster,269,16,160,0.8736059479553904,0.8524075057532307,0.10134403983707774,0.18115078422653996,0.04666470157765284,0.5869490911344566
Macro-topics,macro_topic,269,16,28,0.4944237918215613,0.3700823114436237,0.34265018367610656,0.35583833446553725,0.08305527204389851,0.39433377880036813
